site;Y1;Y2;Y3;sable;muscinale;herb;buissonnante;superieure;bois morts;terlapin;gitenat;pierre;mer;lisiere;habitat;temp1;temp2;temp3;vent1;vent2;vent3;p1;p2;p3
1;0;2;0;15;15;65;5;0;0;0;1;0;40;40;dune;21,2;24,8;21,6;2,7;5,7;3,3;p1;p2;p3
2;1;2;5;1;5;89;5;0;0;5;1;1;70;40;dune;21,7;23,8;23,8;2,2;4,7;2,6;p1;p2;p3
3;0;3;1;1;24;60;15;0;0;1;2;0;120;0;dune;22,7;22,5;24,2;0,8;2,5;7,2;p1;p2;p3
4;0;1;2;14;30;55;1;0;0;2;0;0;40;130;dune;23,5;22,4;18,3;2,4;1,4;1,3;p1;p2;p3
5;1;2;2;1;29;70;0;0;0;5;0;6;100;70;dune;24,2;24,8;20,1;3,4;2,2;3,3;p1;p2;p3
6;1;1;3;1;20;76;3;0;0;10;0;0;150;20;dune;23,9;26,3;23,9;2,7;2,2;6,7;p1;p2;p3
7;1;2;1;11;25;55;1;8;0;0;0;10;10;160;dune;15,6;22,4;23,4;2,6;1,4;7,4;p1;p2;p3
8;0;1;1;1;3;95;1;0;0;0;0;2;150;20;dune;23,3;24,9;21,6;2,7;2,2;3,3;p1;p2;p3
9;0;0;0;8;2;70;10;10;0;0;0;0;200;0;dune;23,2;26,3;23,8;2,1;2,2;2,6;p1;p2;p3
10;1;1;1;10;19;70;1;0;0;5;0;0;50;110;dune;18,9;26;27,4;2,6;5;5,3;p1;p2;p3
11;0;0;0;5;40;50;5;0;0;0;0;0;200;70;dune;24,7;24,3;21,9;9,3;4,5;4,6;p1;p2;p3
12;1;1;1;3;15;47;25;0;0;20;0;0;110;130;dune;25;23,8;24,4;4,4;3,9;3,8;p1;p2;p3
13;0;0;0;5;35;55;5;0;0;0;0;0;190;50;dune;21,2;23,2;23,9;9,3;4,9;3,6;p1;p2;p3
14;1;0;0;8;30;60;2;0;0;0;0;0;180;50;dune;19,7;25,2;22,8;8,3;3,7;3,8;p1;p2;p3
15;0;1;0;5;35;45;15;0;0;2;0;0;140;100;dune;19;24,4;22,6;7,4;4,6;4;p1;p2;p3
16;0;1;1;1;44;50;5;0;0;0;0;0;230;10;dune;18;22,6;25,2;1,8;6,2;2,1;p1;p2;p3
17;0;0;0;15;30;45;10;0;0;0;0;0;350;0;dune;19,7;22,6;26,1;1,7;1;2;p1;p2;p3
18;0;0;0;4;40;55;1;0;0;1;0;0;370;0;dune;23,5;20,2;19,4;0;6,3;4,9;p1;p2;p3
19;1;1;0;3;40;55;2;0;0;0;0;0;390;20;dune;22,5;15,4;19,4;4,6;4,6;4,9;p1;p2;p3
20;1;1;0;10;25;40;25;0;0;10;0;0;230;20;dune;22,5;18,6;20,9;4,6;6,4;6,5;p1;p2;p3
21;1;1;2;2;3;71;15;1;8;0;0;0;250;0;dune;22,6;24,1;26,9;3,2;1,5;2,9;p1;p2;p3
22;0;2;2;5;1;74;10;10;10;0;0;0;300;0;dune;25,1;23,9;28,3;5,8;3,7;2,3;p1;p2;p3
23;0;2;2;1;1;57;30;1;10;0;0;0;270;0;dune;27,6;24,1;28,3;3,2;2,5;2,3;p1;p2;p3
24;0;1;2;1;3;78;10;0;8;0;0;0;270;0;dune;27,6;26;26,9;3,3;2,4;2,9;p1;p2;p3
25;0;1;1;5;2;53;25;0;15;0;0;0;250;0;dune;28,6;26;27,2;3,1;2,4;5,5;p1;p2;p3
26;0;0;1;1;10;54;20;5;10;0;0;0;300;0;dune;28,2;24,1;27,2;2,3;2,5;5,5;p1;p2;p3
27;0;0;0;10;5;40;15;10;20;0;0;0;300;0;dune;26,5;24,1;28,2;1,7;1,5;4,9;p1;p2;p3
28;0;0;1;1;5;48;35;5;6;5;0;0;380;0;dune;15,3;23,2;28,2;4,6;5,9;4,9;p1;p2;p3
29;0;0;0;1;3;55;35;1;5;10;0;0;400;0;dune;16,4;20,8;27,2;2,2;2,1;5,5;p1;p2;p3
30;0;0;0;0;1;44;40;0;15;0;0;0;410;0;dune;19,1;23,5;25,4;2,2;2,5;5,3;p1;p2;p3
31;0;0;0;5;35;59;1;0;0;0;0;0;300;160;dune;19,7;19,8;19,9;8,3;3,6;5,3;p1;p2;p3
32;0;0;0;10;30;59;1;0;0;0;0;0;250;210;dune;18,3;18,2;21,3;9,3;3,5;4,5;p1;p2;p3
33;0;0;0;10;30;58;2;0;0;0;0;0;350;110;dune;19;21,3;21,3;7,4;3,3;4,5;p1;p2;p3
34;1;1;1;5;35;55;5;0;0;0;0;0;180;310;dune;21,2;23,7;19,4;9,3;6,7;7,5;p1;p2;p3
35;1;0;1;15;30;50;5;0;0;4;0;0;100;430;dune;24,7;22,3;19,4;9,3;7,7;7,5;p1;p2;p3
36;0;0;0;10;35;52;3;0;0;0;0;0;400;10;dune;20,8;22,6;20,2;3,3;2,4;5,2;p1;p2;p3
37;1;1;0;10;35;40;15;0;0;0;0;0;240;140;dune;22,5;20,4;19,8;4,6;4,9;4,1;p1;p2;p3
38;0;0;0;2;30;45;0;3;0;0;0;0;370;10;dune;20,7;23,2;24,1;5,4;2,2;2,3;p1;p2;p3
39;1;0;0;10;35;45;10;0;0;0;0;0;170;200;dune;21,2;23,3;24,3;7,1;5,8;3,8;p1;p2;p3
40;1;0;0;10;35;50;5;0;0;0;0;0;230;140;dune;20,8;23,2;24,3;2,5;3,9;3,6;p1;p2;p3
41;0;0;0;5;35;55;5;0;0;0;1;0;130;170;dune;18,2;17;29,2;4,2;2,1;2,5;p1;p2;p3
42;1;0;0;5;40;50;5;0;0;3;0;0;280;50;dune;18,2;23,9;30,5;4,2;4;1,6;p1;p2;p3
43;1;1;1;25;25;45;5;0;0;0;0;0;60;240;dune;16,8;19,8;26,9;7,1;2,6;2,2;p1;p2;p3
44;0;0;0;15;30;51;4;0;0;0;0;0;90;180;dune;16,8;21;29,2;7,1;3,6;2,5;p1;p2;p3
45;0;0;0;1;45;54;0;0;0;1;0;0;280;10;dune;21,5;24,4;26,2;1,5;4,3;1,8;p1;p2;p3
46;0;1;1;4;40;54;2;0;0;0;0;0;250;40;clairiere;21,4;24,7;26,2;1,5;2,1;1,8;p1;p2;p3
47;1;1;1;3;40;54;3;0;0;4;2;0;260;20;clairiere;22,1;23,6;20,1;5,5;3,4;2,7;p1;p2;p3
48;1;1;1;10;35;40;15;0;0;5;1;0;190;0;clairiere;23,9;23,4;21,4;5;3;3,1;p1;p2;p3
49;0;0;1;2;50;48;0;0;0;0;0;0;210;0;clairiere;22,1;18,1;21,4;3,4;6,5;3,1;p1;p2;p3
50;0;2;2;1;48;47;4;0;0;0;1;0;220;0;clairiere;23,4;19,5;24,3;4,1;5,2;3;p1;p2;p3
51;0;1;1;1;20;68;1;10;0;0;0;0;70;10;clairiere;18,5;23,8;18,3;0;4,7;1,3;p1;p2;p3
52;0;1;2;10;5;84;1;0;0;0;0;0;10;50;clairiere;20;24,8;20,1;1,2;5,7;3,3;p1;p2;p3
53;0;0;1;24;25;50;1;0;0;0;0;0;10;10;clairiere;20,9;25,7;27,4;2,6;5;5,3;p1;p2;p3
54;1;1;0;10;20;55;15;0;0;0;0;0;70;100;clairiere;18,9;25,5;19,8;4,2;4,6;4,2;p1;p2;p3
55;0;1;0;5;40;50;5;0;0;0;0;0;110;20;clairiere;21,5;25;20,7;4,3;6,1;4,4;p1;p2;p3
56;1;1;1;20;30;42;8;0;0;0;0;0;360;90;clairiere;20,8;16,6;16,2;3,3;4,9;4,6;p1;p2;p3
57;0;2;0;1;30;34;24;1;0;15;0;0;180;190;clairiere;20,7;17,6;18,4;5,4;4,8;4,5;p1;p2;p3
58;0;0;0;10;30;50;10;0;0;0;0;0;210;250;clairiere;18,9;21,7;23,7;4,2;6,3;2;p1;p2;p3
59;0;0;0;15;30;55;0;0;0;0;0;0;260;200;clairiere;21,5;20,5;21,5;4,3;6,7;1,8;p1;p2;p3
60;0;0;0;10;35;55;0;0;0;0;0;0;70;290;clairiere;25;16;19,4;4,4;3,8;1,3;p1;p2;p3
61;0;1;0;10;35;45;10;0;0;0;0;0;110;270;clairiere;26,4;23,5;25,2;2,8;4;4;p1;p2;p3
62;0;0;0;13;35;49;3;0;0;1;0;0;230;150;clairiere;25,8;23,2;24,9;2,5;3,9;4,1;p1;p2;p3
63;0;0;0;10;30;58;2;0;0;0;0;0;80;270;clairiere;25,6;23,6;26,3;3;6,2;5,3;p1;p2;p3
64;0;0;0;5;45;49;1;0;0;0;0;0;230;110;clairiere;25,4;23,5;24,1;2,2;4;2,3;p1;p2;p3
65;0;0;0;2;30;61;7;0;0;0;0;0;120;210;clairiere;24,8;23,6;26,9;2,4;6,2;2,2;p1;p2;p3
66;0;0;0;1;40;59;0;0;0;0;0;0;200;0;clairiere;27,8;21,8;24,3;2,5;3,6;3;p1;p2;p3
67;0;2;0;1;35;54;10;0;0;5;0;0;190;30;clairiere;23,8;22,6;29,8;2;4,2;5,7;p1;p2;p3
68;0;0;0;1;40;59;0;0;0;1;0;0;120;60;clairiere;20,7;21,8;29,2;1,6;3,6;3,1;p1;p2;p3
69;0;0;0;2;40;58;0;0;0;0;0;0;150;30;clairiere;18,8;19,5;29,2;1,1;5,2;3,1;p1;p2;p3
70;0;2;1;10;40;49;1;0;0;0;0;0;150;40;clairiere;16,5;18,1;29,8;3,9;6,5;5,7;p1;p2;p3
